# simTime drag lift presDiff dispAx dispAy aleNorm aleTime flowTime beamTime couplingIter flowIter beamIter omega resAbs resRel
0.37 21.1805 -0.058973 312.966 -4.33717e-06 -1.25621e-05 2.63514e-06 70.157 506.693 63.5937 6 3 3 0.608273 1.65781e-12 2.10542e-05
0.38 21.9118 -0.0601557 322.226 -3.85623e-06 -1.39357e-05 2.85413e-06 72.4345 523.369 65.6719 6 3 3 0.608401 1.96723e-12 2.50082e-05
0.39 22.6475 -0.0611582 331.493 -3.36222e-06 -1.54102e-05 3.09236e-06 74.7111 540.027 67.7506 6 3 3 0.608555 2.34021e-12 2.97632e-05
0.4 23.3873 -0.0620757 340.769 -2.85085e-06 -1.69887e-05 3.34975e-06 76.9901 556.668 69.8298 6 3 3 0.608769 2.83353e-12 3.60336e-05
0.41 24.1312 -0.0628211 350.052 -2.31592e-06 -1.8674e-05 3.62618e-06 79.2672 573.344 71.9086 6 3 3 0.609019 3.37749e-12 4.29253e-05
0.42 24.8791 -0.0634013 359.344 -1.75246e-06 -2.04685e-05 3.92179e-06 81.5455 590.028 73.9876 6 3 3 0.609338 4.00465e-12 5.08361e-05
0.43 25.631 -0.0638216 368.646 -1.15701e-06 -2.23745e-05 4.23666e-06 83.8206 606.695 76.0656 6 3 3 0.609744 4.70507e-12 5.96234e-05
0.44 26.3869 -0.0640514 377.96 -5.29369e-07 -2.4394e-05 4.57091e-06 86.0973 623.365 78.1448 6 3 3 0.610249 5.44379e-12 6.88239e-05
0.45 27.1467 -0.0640923 387.288 1.28677e-07 -2.65285e-05 4.92455e-06 88.3745 640.037 80.2245 6 3 3 0.610889 6.21523e-12 7.83518e-05
0.46 27.9105 -0.0639322 396.63 8.13241e-07 -2.87794e-05 5.29752e-06 90.6512 656.726 82.3023 6 3 3 0.61169 6.98821e-12 8.78002e-05
0.47 28.6781 -0.0635612 405.988 1.52049e-06 -3.11474e-05 5.68965e-06 92.9273 673.396 84.3812 6 3 3 0.612692 7.74305e-12 9.6918e-05
0.48 29.4497 -0.0629709 415.364 2.24679e-06 -3.36332e-05 6.10076e-06 95.2047 690.048 86.4598 6 3 3 0.613941 8.45957e-12 0.000105452
0.49 30.2251 -0.0621542 424.76 2.99038e-06 -3.62366e-05 6.53062e-06 97.4838 706.712 88.5382 6 3 3 0.615494 9.12587e-12 0.000113259
0.5 31.0045 -0.0611002 434.177 3.75067e-06 -3.89575e-05 6.97904e-06 99.7611 723.401 90.6179 6 3 3 0.617416 9.73219e-12 0.000120223
0.51 31.788 -0.0598036 443.62 4.52891e-06 -4.17951e-05 7.44581e-06 102.04 740.056 92.6979 6 3 3 0.619799 1.02781e-11 0.000126345
0.52 32.5755 -0.0582538 453.09 5.32667e-06 -4.4748e-05 7.93071e-06 104.319 756.696 94.7776 6 3 3 0.622739 1.07649e-11 0.000131648
